"2","3","計算下列&nbsp;Python&nbsp;數學運算式<br />
<span style=&quot;color:#0000ff;&quot;>5&nbsp;*&nbsp;(1+2)&nbsp;**&nbsp;2&nbsp;-&nbsp;3&nbsp;+&nbsp;4&nbsp;/&nbsp;2</span>","5 || 8 || 44 || 22","","2024-0-2-0-0","3"
"2","4","您執行下列程式碼。請問結果為何?
<pre style=&quot;color:#0000ff;&quot;>
value1&nbsp;=&nbsp;9
value2&nbsp;=&nbsp;4
answer&nbsp;=&nbsp;(value1&nbsp;%&nbsp;value2&nbsp;*&nbsp;10)&nbsp;//&nbsp;2.0&nbsp;**&nbsp;3.0&nbsp;+&nbsp;value2
</pre>","輸出 129 || 發生語法錯誤 || 輸出 5.667 || 輸出 5.0","","2024-0-2-0-0","3"
"2","1","您執行下列程式碼，請問輸出值為何&nbsp;?
<pre style=&quot;color:blue&quot;>
list_1&nbsp;=&nbsp;[1,2]
list_2&nbsp;=&nbsp;[3,4]
list_3&nbsp;=&nbsp;list_1&nbsp;+&nbsp;list_2
list_4&nbsp;=&nbsp;list_3&nbsp;*&nbsp;3
print(list_4)
</pre>","[1, 2, 3, 4, 1, 2, 3, 4, 1, 2, 3, 4] || [[1, 2, 3, 4], [1, 2, 3, 4], [1, 2, 3, 4]] || [3, 6, 9, 12] || [[1, 2], [3, 4], [1, 2], [3, 4], [1, 2], [3, 4]]","","2024-0-2-0-0","3"
"2","2","請問下列程式，print陳述式的輸出為何?
<pre style=&quot;color:blue&quot;>
x&nbsp;=&nbsp;&quot;oranges&quot;
y&nbsp;=&nbsp;&quot;apples&quot;
z&nbsp;=&nbsp;&quot;bananas&quot;
data&nbsp;=&nbsp;&quot;{1}&nbsp;and&nbsp;{0}&nbsp;and&nbsp;{2}&quot;
print(&nbsp;data.format(z,y,x)&nbsp;)
</pre>","bananas and oranges and apples || apples and bananas and oranges || apples and oranges and bananas || oranges and apples and bananas","","2024-0-2-0-0","3"
"2","3","請問下列陳述式有何功能？
<pre style=&quot;color:blue&quot;>
data&nbsp;=&nbsp;input()

</pre>","顯示電腦上的所有輸入周邊裝置 || 顯示允許使用者輸入的訊息方塊 || 允許使用者在主控台中輸入文字 || 建立HTML輸入元素","","2024-0-2-0-0","3"
"2","1","你設計了一個數學運算的&nbsp;Python&nbsp;程式，程式碼如下：
<pre style=&quot;color:blue&quot;>
a&nbsp;=&nbsp;21
b&nbsp;=&nbsp;5
print(&nbsp;a&nbsp;/&nbsp;b,&nbsp;a&nbsp;//&nbsp;b,&nbsp;a&nbsp;%&nbsp;b&nbsp;)
</pre>
&nbsp;請問&nbsp;print&nbsp;將輸出什麼&nbsp;?","4.2 4 1 || 4 4 4 || 1 4 4.2","","2024-0-2-0-0","3"
"2","2","在&nbsp;Python&nbsp;程式中，如果希望使用者輸入時，即使用輸入了小數，程式也能自動轉為整數來進行運算。<br />
你應該使用以下哪個程式碼片段&nbsp;？","total = input(&quot;請輸入總數？&quot;) || total = int(eval(input(&quot;請輸入總數？&quot;))) || total = str(input(&quot;請輸入總數？&quot;)) || total = float(input(&quot;請輸入總數？&quot;))","","2024-0-2-0-0","3"
"2","2","您正在建立一個比較數字的Python程式
<table>
	<tbody>
		<tr>
			<td>
			<pre>
<strong><span style=&quot;color:#ff0000;&quot;>01
02
03
04
05
06
07
08
09
10</span></strong>
</pre>
			</td>
			<td>
			<pre>
<span style=&quot;color:#0000ff;&quot;>num1&nbsp;=&nbsp;eval(input&nbsp;(&quot;Please&nbsp;enter&nbsp;the&nbsp;first&nbsp;number:&nbsp;&quot;))
num2&nbsp;=&nbsp;eval(input&nbsp;(&quot;Please&nbsp;enter&nbsp;the&nbsp;second&nbsp;number:&nbsp;&quot;))
if&nbsp;num1&nbsp;==&nbsp;num2:
&nbsp;&nbsp;&nbsp;&nbsp;print(&quot;The&nbsp;two&nbsp;numbers&nbsp;are&nbsp;equal.&nbsp;&quot;)
if&nbsp;num1&nbsp;&lt;=&nbsp;num2:
&nbsp;&nbsp;&nbsp;&nbsp;print(&quot;Number&nbsp;1&nbsp;is&nbsp;less&nbsp;than&nbsp;number&nbsp;2.&nbsp;&quot;)
if&nbsp;num1&nbsp;&gt;&nbsp;num2:
&nbsp;&nbsp;&nbsp;&nbsp;print(&quot;Number&nbsp;1&nbsp;is&nbsp;greater&nbsp;than&nbsp;number&nbsp;2.&nbsp;&quot;)
if&nbsp;num2&nbsp;=&nbsp;num1:
&nbsp;&nbsp;&nbsp;&nbsp;print(&quot;The&nbsp;two&nbsp;numbers&nbsp;are&nbsp;the&nbsp;same.&nbsp;&quot;)</span>
</pre>
			</td>
		</tr>
	</tbody>
</table>
<br />
請問下列敘述何者為<strong><span style=&quot;color:#ff0000;&quot;>非</span></strong>&nbsp;?","第04行的print陳述式只有在這兩個數字的值相等時才會列印。 || 第06行的print陳述式只有在num1小於num2時才會列印。 || 第08行的print陳述式只有在num1大於num2時才會列印。 || 第09行的陳述式是無效的比較。","","2024-0-2-0-0","3"
"6","a{1},b{4},c{3},d{2},e{3}","請問變數宣告後它們的資料類別依序是？","age?=?12 || minor?=?False || name?=?&quot;David&quot; || weight?=?64.5 || zip?=?&quot;545&quot; @@ int || float || str || boolean","","2024-0-2-0-0","3"
"6","a{2},b{1},c{2}","根據下列程式，請回答註解中的問題。<br />
<br />
<embed src=&quot;https://www.cyberpiers.com/CLUT/Quiz.Python/ITS2023-2-001.svg&quot;></embed>","A || B || C @@ int || str || boolean","","2024-0-2-0-0","3"
