"2","1","您撰寫了下列程式碼來根據學生目前的成績&nbsp;(grade)&nbsp;和排名&nbsp;(rank)&nbsp;判斷學生的最終成績。<br />
請問將會列印何值?
<pre style=&quot;color:blue&quot;>
grade&nbsp;=&nbsp;76
rank&nbsp;=&nbsp;3
if&nbsp;grade&nbsp;&gt;&nbsp;80&nbsp;and&nbsp;rank&nbsp;&gt;=&nbsp;3&nbsp;:
&nbsp;&nbsp;&nbsp;&nbsp;grade&nbsp;+=&nbsp;10
elif&nbsp;grade&nbsp;&gt;&nbsp;70&nbsp;and&nbsp;rank&nbsp;&gt;&nbsp;3&nbsp;:
&nbsp;&nbsp;&nbsp;&nbsp;grade&nbsp;+=&nbsp;5
else&nbsp;:
&nbsp;&nbsp;&nbsp;&nbsp;grade&nbsp;-=&nbsp;5
print(grade)
</pre>","71 || 76 || 81 || 86","","2024-0-3-0-0","3"
"6","a{1},b{3},c{2},d{3}","您正在使用Python編寫數學公用程式的程式碼。<br />
您正在撰寫一個函式來方根。此函式必須符合下列需求:
<ul>
	<li>如果&nbsp;a&nbsp;為非負數,&nbsp;則傳回&nbsp;a&nbsp;**&nbsp;(1&nbsp;/&nbsp;b)</li>
	<li>如果&nbsp;a&nbsp;為負偶數,&nbsp;則傳回&nbsp;&quot;Result&nbsp;is&nbsp;an&nbsp;imaginary&nbsp;number&quot;</li>
	<li>如果&nbsp;a&nbsp;為負奇數,&nbsp;則傳回&nbsp;-(-a)&nbsp;**&nbsp;(1&nbsp;/&nbsp;b)&nbsp;請從每個下拉式清單中選取正確的程式碼片段以完成程式碼。</li>
</ul>
<embed src=&quot;https://www.cyberpiers.com/CLUT/Quiz.Python/ITS2023-3-001.svg&quot;></embed>","A || B || C || D @@ 1 || 2 || 3 || 4","","2024-0-3-0-0","3"
"6","a{1},b{2},c{1}","<meta charset=&quot;utf-8&quot;>
<p dir=&quot;ltr&quot; id=&quot;docs-internal-guid-9f825b30-7fff-45bd-e46a-dfd45a37579b&quot; style=&quot;line-height:1.2;margin-top:0pt;margin-bottom:0pt;&quot;><span style=&quot;font-size:16pt;font-family:Arial,sans-serif;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;&quot;>您正在撰寫一個Python程式來判斷使用者輸入的數字(num)是一位數、兩位數,還是超過兩位數(digits)。</span><br />
&nbsp;</p>

<p dir=&quot;ltr&quot; style=&quot;line-height:1.2;margin-top:0pt;margin-bottom:0pt;&quot;><span style=&quot;font-size:16pt;font-family:Arial,sans-serif;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;&quot;>請從每個下拉式清單中選取正確的程式碼片段以完成程式碼。</span></p>
<embed src=&quot;https://www.cyberpiers.com/CLUT/Quiz.Python/ITS2023-3-002.svg&quot;></embed>","A || B || C @@ 1 || 2 || 3 || 4","","2024-0-3-0-0","3"
"6","a{1},b{1},c{3}","<meta charset=&quot;utf-8&quot;>
<p dir=&quot;ltr&quot; id=&quot;docs-internal-guid-d3db2211-7fff-09cb-ba99-ebeaf23edfa8&quot; style=&quot;line-height:1.2;margin-top:0pt;margin-bottom:0pt;&quot;><span style=&quot;font-size:16pt;font-family:Arial,sans-serif;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;&quot;>您正在建立一個函式來根據下列規則計算入場費(admission_fee)</span></p>

<ul dir=&quot;ltr&quot;>
	<li style=&quot;line-height: 1.2; margin-top: 0pt; margin-bottom: 0pt;&quot;><span style=&quot;font-size:16pt;font-family:Arial,sans-serif;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;&quot;>未滿5歲的任何人=免費入場</span></li>
	<li style=&quot;line-height: 1.2; margin-top: 0pt; margin-bottom: 0pt;&quot;><span style=&quot;font-size:16pt;font-family:Arial,sans-serif;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;&quot;>年滿5歲以上的任何在校學生=10美元</span></li>
	<li style=&quot;line-height: 1.2; margin-top: 0pt; margin-bottom: 0pt;&quot;><span style=&quot;font-size:16pt;font-family:Arial,sans-serif;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;&quot;>5至17歲的任何非在校人士=20美元</span></li>
	<li style=&quot;line-height: 1.2; margin-top: 0pt; margin-bottom: 0pt;&quot;><span style=&quot;font-size:16pt;font-family:Arial,sans-serif;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;&quot;>超過17歲的任何非在校人士=50美元</span></li>
</ul>

<p dir=&quot;ltr&quot; style=&quot;line-height:1.2;margin-top:0pt;margin-bottom:0pt;&quot;><span style=&quot;font-size:16pt;font-family:Arial,sans-serif;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;&quot;>rate&nbsp;代表美元價格。</span></p>

<p dir=&quot;ltr&quot; style=&quot;line-height:1.2;margin-top:0pt;margin-bottom:0pt;&quot;><span style=&quot;font-size:16pt;font-family:Arial,sans-serif;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;&quot;>請從每個下拉式清單中選取正確的程式碼片段以完成程式碼。</span><br />
<br />
&nbsp;</p>
<embed src=&quot;https://www.cyberpiers.com/CLUT/Quiz.Python/ITS2023-3-003.svg&quot;></embed>","A || B || C @@ 1 || 2 || 3","","2024-0-3-0-0","3"
"6","a{2},b{2}","你開發一個程式碼用來判斷整數是奇數還是偶數：<br />

<embed src=&quot;https://www.cyberpiers.com/CLUT/Quiz.Python/ITS2023-3-004.svg&quot;/>","A || B @@ 1 || 2 || 3 || 4","","2024-0-3-0-0","3"
"6","a{2},b{3}","您正在為某間零售商店撰寫&nbsp;Python&nbsp;程式，將庫存追蹤自動化。<br />
您的第一項工作是讀取庫存交易的檔案。該檔案包含前一天的銷售量，包括商品識別碼、價格和數量。<br />
<br />
該檔案的資料範例如下所示:
<pre style=&quot;color:green&quot;>
10,&nbsp;200,&nbsp;5
20,&nbsp;100,&nbsp;1
</pre>
&nbsp;&nbsp;&nbsp;&nbsp;程式碼必須執行下列工作:

<ol>
	<li>讀取並列印檔案的每一行。</li>
	<li>忽略空白行。</li>
	<li>讀取所有行之後關閉檔案。</li>
</ol>

<embed src=&quot;https://www.cyberpiers.com/CLUT/Quiz.Python/ITS2023-3-005.svg&quot;/>","A || B @@ 1 || 2 || 3","","2024-0-3-0-0","3"
"6","a{2},b{4},c{4},d{4}","您正在設計一個決策結構,&nbsp;以將學生的數字成績(grade)轉換成字母成績(letter_grade)。<br />
此程式必須依照下表的指定內容指派字母成績:
<table align=&quot;center&quot; border=&quot;1&quot; cellpadding=&quot;5&quot;>
	<tbody>
		<tr>
			<th>百分比範圍</th>
			<th>字母成績</th>
		</tr>
		<tr>
			<th>90到100</th>
			<td>A</td>
		</tr>
		<tr>
			<th>80到89</th>
			<td>B</td>
		</tr>
		<tr>
			<th>70到79</th>
			<td>C</td>
		</tr>
		<tr>
			<th>65到69</th>
			<td>D</td>
		</tr>
		<tr>
			<th>0到64</th>
			<td>F</td>
		</tr>
	</tbody>
</table>
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;舉例來說,如果使用者輸入90,輸出就應該是&quot;Your&nbsp;letter&nbsp;grade&nbsp;is&nbsp;A&quot;。同樣地,如果使用者輸入89,輸出就應該是&quot;Your&nbsp;letter&nbsp;grade&nbsp;is&nbsp;B&quot;。<br />
<embed src=&quot;https://www.cyberpiers.com/CLUT/Quiz.Python/ITS2023-3-006.svg&quot;></embed>","A || B || C || D @@ 1 || 2 || 3 || 4","","2024-0-3-0-0","3"
"6","a{2},b{1},c{1}","某間影音商店需要設法判斷向客戶收取的DVD租借金額。<br />
此金額取決於客戶當天歸還DVD的時間。此外，星期四和星期日還有特價優惠。費用結構如下所示:
<ul>
	<li>預設費用&nbsp;(cost&nbsp;per_day)&nbsp;是每晚1.59美元。</li>
	<li>如果客戶在晚上8點過後歸還DVD，商店會向他們額外收取一晚的費用。這筆費用儲存在ontime變數中。</li>
	<li>星期日&nbsp;(Sunday)&nbsp;租借的DVD可享整個租借期間七折優惠。租借日期儲存在weekday變數中。</li>
	<li>星期四&nbsp;(Thursday)&nbsp;租借的DVD可享整個租借期間五折優惠。租借天數儲存在&nbsp;days_rented&nbsp;變數中。</li>
</ul>
<embed src=&quot;https://www.cyberpiers.com/CLUT/Quiz.Python/ITS2023-3-007.svg&quot;></embed>","A || B || C @@ 1 || 2 || 3","","2024-0-3-0-0","3"
"6","a{2},b{2},c{1},d{1},e{2},f{4},g{4}","您正在撰寫程式碼來根據下列準則傳回字母成績：
<ul>
	<li>變數grade會將數字成績儲存成&nbsp;0&nbsp;到&nbsp;100&nbsp;之間的整數。</li>
	<li>90&nbsp;到&nbsp;100&nbsp;的成績&nbsp;=&nbsp;A。</li>
	<li>80&nbsp;到&nbsp;89&nbsp;的成績&nbsp;=&nbsp;B。</li>
	<li>70&nbsp;到&nbsp;79&nbsp;的成績&nbsp;=&nbsp;C。</li>
	<li>其他所有成績都不及格。</li>
</ul>
<embed src=&quot;https://www.cyberpiers.com/CLUT/Quiz.Python/ITS2023-3-008.svg&quot;></embed>","A || B || C || D || E || F || G @@ 1 || 2 || 3 || 4","","2024-0-3-0-0","3"
"6","a{1},b{1}","您正在撰寫一個函式來執行數字的安全除法。<br />
您需要確保分母和分子會傳遞給函式,而且分母不為零。<embed src=&quot;https://www.cyberpiers.com/CLUT/Quiz.Python/ITS2023-3-009.svg&quot;></embed>","A || B @@ 1 || 2 || 3 || 4","","2024-0-3-0-0","3"
